Name,Type,Category,Contest,PP,Power,Accuracy
Pound,Normal,Physical,Tough,35,40,100
Karate Chop,Fighting,Physical,Tough,25,50,100
Double Slap,Normal,Physical,Cute,10,15,85
Comet Punch,Normal,Physical,Tough,15,18,85
Mega Punch,Normal,Physical,Tough,20,80,85
Pay Day,Normal,Physical,Clever,20,40,100
Fire Punch,Fire,Physical,Tough,15,75,100
Ice Punch,Ice,Physical,Beautiful,15,75,100
Thunder Punch,Electric,Physical,Cool,15,75,100
Scratch,Normal,Physical,Tough,35,40,100
Vice Grip,Normal,Physical,Tough,30,55,100
Guillotine,Normal,Physical,Cool,5,None,None
Razor Wind,Normal,Special,Cool,10,80,None
Swords Dance,Normal,Status,Beautiful,20,None,None
Cut,Normal,Physical,Cool,30,50,95
Gust,Flying,Special,Clever,35,40,100
Wing Attack,Flying,Physical,Cool,35,60,100
Whirlwind,Normal,Status,Clever,20,None,None
Fly,Flying,Physical,Clever,15,90,95
Bind,Normal,Physical,Tough,20,15,None
Slam,Normal,Physical,Tough,20,80,75
Vine Whip,Grass,Physical,Cool,25,45,100
Stomp,Normal,Physical,Tough,20,65,100
Double Kick,Fighting,Physical,Cool,30,30,100
Mega Kick,Normal,Physical,Cool,5,120,75
Jump Kick,Fighting,Physical,Cool,10,100,95
Rolling Kick,Fighting,Physical,Cool,15,60,85
Sand Attack,Ground,Status,Cute,15,None,100
Headbutt,Normal,Physical,Tough,15,70,100
Horn Attack,Normal,Physical,Cool,25,65,100
Fury Attack,Normal,Physical,Cool,20,15,85
Horn Drill,Normal,Physical,Cool,5,None,None
Tackle,Normal,Physical,Tough,35,40,None
Body Slam,Normal,Physical,Tough,15,85,100
Wrap,Normal,Physical,Tough,20,15,None
Take Down,Normal,Physical,Tough,20,90,85
Thrash,Normal,Physical,Tough,10,120,100
Double-Edge,Normal,Physical,Tough,15,120,100
Tail Whip,Normal,Status,Cute,30,None,100
Poison Sting,Poison,Physical,Clever,35,15,100
Twineedle,Bug,Physical,Cool,20,25,100
Pin Missile,Bug,Physical,Cool,20,25,None
Leer,Normal,Status,Cool,30,None,100
Bite,Dark,Physical,Tough,25,60,100
Growl,Normal,Status,Cute,40,None,100
Roar,Normal,Status,Cool,20,None,None
